ID,activity_date,start_date,end_date,activity,activity_details,duration_min,source,weekday,weekday_name
63,2/4/2021 7:33,2/4/2021 7:33,,Workout,,15,DogDown App,4,Jueves
62,2/5/2021 7:39,2/5/2021 7:39,,Workout,,12,DogDown App,5,Viernes
210,2/6/2021 0:49,2/6/2021 0:49,2/6/2021 1:28,Caminata,HIGH ,39,Google Maps,6,Sábado
211,2/7/2021 22:36,2/7/2021 22:36,2/7/2021 22:51,Caminata,HIGH CONFIRMED,15,Google Maps,7,Domingo
212,2/8/2021 0:49,2/8/2021 0:49,2/8/2021 1:14,Caminata,HIGH ,25,Google Maps,1,Lunes
61,2/8/2021 7:37,2/8/2021 7:37,,Workout,,15,DogDown App,1,Lunes
283,2/8/2021 18:30,,,Yoga,MalovaElena,41,YouTube,1,Lunes
60,2/9/2021 7:36,2/9/2021 7:36,,Workout,,15,DogDown App,2,Martes
213,2/10/2021 0:16,2/10/2021 0:16,2/10/2021 1:05,Caminata,HIGH ,49,Google Maps,3,Miércoles
59,2/10/2021 7:35,2/10/2021 7:35,,Workout,,15,DogDown App,3,Miércoles
214,2/11/2021 1:20,2/11/2021 1:20,2/11/2021 1:38,Caminata,HIGH ,18,Google Maps,4,Jueves
58,2/11/2021 7:35,2/11/2021 7:35,,Workout,,15,DogDown App,4,Jueves
57,2/12/2021 7:35,2/12/2021 7:35,,Workout,,12,DogDown App,5,Viernes
215,2/13/2021 1:18,2/13/2021 1:18,2/13/2021 1:51,Caminata,HIGH ,33,Google Maps,6,Sábado
216,2/13/2021 19:27,2/13/2021 19:27,2/13/2021 21:25,Caminata,HIGH ,118,Google Maps,6,Sábado
217,2/16/2021 0:25,2/16/2021 0:25,2/16/2021 0:44,Caminata,HIGH ,19,Google Maps,2,Martes
56,2/17/2021 7:38,2/17/2021 7:38,,Workout,,15,DogDown App,3,Miércoles
55,2/18/2021 7:36,2/18/2021 7:36,,Workout,,15,DogDown App,4,Jueves
54,2/19/2021 7:35,2/19/2021 7:35,,Workout,,15,DogDown App,5,Viernes
218,2/20/2021 2:15,2/20/2021 2:15,2/20/2021 2:33,Caminata,HIGH ,18,Google Maps,6,Sábado
53,2/22/2021 7:55,2/22/2021 7:55,,Workout,,15,DogDown App,1,Lunes
52,2/23/2021 7:49,2/23/2021 7:49,,Workout,,15,DogDown App,2,Martes
51,2/24/2021 7:47,2/24/2021 7:47,,Workout,,15,DogDown App,3,Miércoles
50,2/25/2021 7:45,2/25/2021 7:45,,Workout,,12,DogDown App,4,Jueves
219,2/26/2021 1:15,2/26/2021 1:15,2/26/2021 1:41,Caminata,HIGH ,26,Google Maps,5,Viernes
220,2/28/2021 21:21,2/28/2021 21:21,2/28/2021 23:25,Caminata,HIGH ,124,Google Maps,7,Domingo
221,3/4/2021 1:32,3/4/2021 1:32,3/4/2021 1:52,Caminata,HIGH ,20,Google Maps,4,Jueves
222,3/5/2021 4:56,3/5/2021 4:56,3/5/2021 5:11,Caminata,HIGH ,15,Google Maps,5,Viernes
223,3/9/2021 19:12,3/9/2021 19:12,3/9/2021 19:46,Caminata,HIGH ,34,Google Maps,2,Martes
224,3/10/2021 18:32,3/10/2021 18:32,3/10/2021 20:08,Caminata,HIGH ,96,Google Maps,3,Miércoles
225,3/10/2021 20:48,3/10/2021 20:48,3/10/2021 21:26,Caminata,HIGH ,38,Google Maps,3,Miércoles
226,3/11/2021 18:56,3/11/2021 18:56,3/11/2021 19:26,Caminata,HIGH ,30,Google Maps,4,Jueves
227,3/11/2021 21:22,3/11/2021 21:22,3/11/2021 23:11,Caminata,HIGH ,109,Google Maps,4,Jueves
49,3/15/2021 7:39,3/15/2021 7:39,,Workout,,12,DogDown App,1,Lunes
228,3/19/2021 0:21,3/19/2021 0:21,3/19/2021 1:08,Caminata,HIGH ,47,Google Maps,5,Viernes
229,3/21/2021 1:33,3/21/2021 1:33,3/21/2021 2:07,Caminata,HIGH ,34,Google Maps,7,Domingo
230,3/21/2021 3:53,3/21/2021 3:53,3/21/2021 4:11,Caminata,HIGH ,18,Google Maps,7,Domingo
231,3/22/2021 23:37,3/22/2021 23:37,3/22/2021 23:58,Caminata,HIGH ,21,Google Maps,1,Lunes
232,3/24/2021 0:22,3/24/2021 0:22,3/24/2021 1:06,Caminata,HIGH ,44,Google Maps,3,Miércoles
233,3/24/2021 14:35,3/24/2021 14:35,3/24/2021 15:15,Caminata,HIGH ,40,Google Maps,3,Miércoles
234,3/24/2021 15:37,3/24/2021 15:37,3/24/2021 15:59,Caminata,HIGH ,22,Google Maps,3,Miércoles
48,3/25/2021 7:38,3/25/2021 7:38,,Workout,,12,DogDown App,4,Jueves
47,3/26/2021 18:55,3/26/2021 18:55,,Workout,,30,DogDown App,5,Viernes
46,3/29/2021 7:35,3/29/2021 7:35,,Workout,,12,DogDown App,1,Lunes
45,3/31/2021 7:38,3/31/2021 7:38,,Workout,,12,DogDown App,3,Miércoles
235,4/1/2021 16:01,4/1/2021 16:01,4/1/2021 16:16,Caminata,HIGH ,15,Google Maps,4,Jueves
236,4/3/2021 0:33,4/3/2021 0:33,4/3/2021 1:03,Caminata,HIGH ,30,Google Maps,6,Sábado
44,4/5/2021 7:36,4/5/2021 7:36,,Workout,,15,DogDown App,1,Lunes
237,4/5/2021 23:28,4/5/2021 23:28,4/6/2021 0:11,Caminata,HIGH ,43,Google Maps,1,Lunes
43,4/6/2021 7:35,4/6/2021 7:35,,Workout,,15,DogDown App,2,Martes
42,4/7/2021 7:35,4/7/2021 7:35,,Workout,,15,DogDown App,3,Miércoles
41,4/8/2021 7:35,4/8/2021 7:35,,Workout,,15,DogDown App,4,Jueves
40,4/9/2021 7:35,4/9/2021 7:35,,Workout,,15,DogDown App,5,Viernes
238,4/10/2021 21:10,4/10/2021 21:10,4/10/2021 21:28,Caminata,HIGH ,18,Google Maps,6,Sábado
39,4/12/2021 7:35,4/12/2021 7:35,,Workout,,15,DogDown App,1,Lunes
38,4/13/2021 7:35,4/13/2021 7:35,,Workout,,12,DogDown App,2,Martes
37,4/14/2021 7:35,4/14/2021 7:35,,Workout,,15,DogDown App,3,Miércoles
239,4/15/2021 0:00,4/15/2021 0:00,4/15/2021 0:42,Caminata,HIGH ,42,Google Maps,4,Jueves
294,4/15/2021 17:47,,,Running,1.2 Km,10,AdidasRunstatistic,4,Jueves
36,4/16/2021 7:35,4/16/2021 7:35,,Workout,,15,DogDown App,5,Viernes
35,4/19/2021 7:33,4/19/2021 7:33,,Workout,,15,DogDown App,1,Lunes
34,4/20/2021 7:56,4/20/2021 7:56,,Workout,,15,DogDown App,2,Martes
293,4/20/2021 18:33,,,Running,3.3 Km,26,AdidasRunstatistic,2,Martes
33,4/21/2021 7:51,4/21/2021 7:51,,Workout,,15,DogDown App,3,Miércoles
32,4/22/2021 7:52,4/22/2021 7:52,,Yoga,Hot 26,15,DogDown App,4,Jueves
292,4/22/2021 17:26,,,Running,2.8 Km,21,AdidasRunstatistic,4,Jueves
31,4/23/2021 7:30,4/23/2021 7:30,,Workout,,15,DogDown App,5,Viernes
30,4/26/2021 7:38,4/26/2021 7:38,,Workout,,15,DogDown App,1,Lunes
29,4/27/2021 7:36,4/27/2021 7:36,,Workout,,15,DogDown App,2,Martes
291,4/27/2021 18:45,,,Running,3 Km,23,AdidasRunstatistic,2,Martes
28,4/28/2021 7:35,4/28/2021 7:35,,Yoga,Hot 26,20,DogDown App,3,Miércoles
27,4/30/2021 7:30,4/30/2021 7:30,,Workout,,15,DogDown App,5,Viernes
290,4/30/2021 18:40,,,Running,2.9 Km,23,AdidasRunstatistic,5,Viernes
240,5/1/2021 23:04,5/1/2021 23:04,5/1/2021 23:32,Caminata,HIGH ,28,Google Maps,6,Sábado
241,5/2/2021 17:53,5/2/2021 17:53,5/2/2021 18:16,Caminata,HIGH ,23,Google Maps,7,Domingo
242,5/2/2021 18:24,5/2/2021 18:24,5/2/2021 18:50,Caminata,HIGH ,26,Google Maps,7,Domingo
284,5/3/2021 7:41,,,Yoga,MalovaElena,16,YouTube,1,Lunes
26,5/4/2021 7:37,5/4/2021 7:37,,Workout,,10,DogDown App,2,Martes
25,5/5/2021 7:35,5/5/2021 7:35,,Workout,,10,DogDown App,3,Miércoles
24,5/6/2021 7:42,5/6/2021 7:42,,Workout,,15,DogDown App,4,Jueves
295,5/6/2021 18:28,,,Running,1.1 Km,10,AdidasRunstatistic,4,Jueves
243,5/7/2021 0:04,5/7/2021 0:04,5/7/2021 0:48,Caminata,HIGH ,44,Google Maps,5,Viernes
244,5/8/2021 16:41,5/8/2021 16:41,5/8/2021 17:16,Caminata,HIGH ,35,Google Maps,6,Sábado
23,5/10/2021 7:49,5/10/2021 7:49,,Workout,,15,DogDown App,1,Lunes
22,5/11/2021 7:52,5/11/2021 7:52,,Workout,,15,DogDown App,2,Martes
